iter	RMSE
0	27.97033612
1	27.95315275
2	27.93596761
3	27.91880524
4	27.90168325
5	27.88456291
6	27.8674829
7	27.85168518
8	27.83464481
9	27.81760259
10	27.80060404
11	27.78360362
12	27.76662577
13	27.7496881
14	27.73277296
15	27.7158559
16	27.69898235
17	27.68213125
18	27.66530259
19	27.64849635
20	27.63171249
21	27.61614266
22	27.6005943
23	27.58382902
24	27.56708606
25	27.55036542
26	27.53366707
27	27.51699099
28	27.50033716
29	27.4837242
30	27.46711143
31	27.45053949
32	27.43396772
33	27.41741808
34	27.40090585
35	27.38441571
36	27.36792569
37	27.35147633
38	27.335049
39	27.31861842
40	27.30223175
41	27.28586705
42	27.26949575
43	27.25314639
44	27.23684084
45	27.22055716
46	27.20426686
47	27.1879984
48	27.17177366
49	27.1555707
50	27.14050406
51	27.12433996
52	27.10816544
53	27.09201264
54	27.07590715
55	27.05979446
56	27.04372904
57	27.02768523
58	27.01163096
59	26.9956271
60	26.97961276
61	26.96361997
62	26.94767429
63	26.9317501
64	26.91584739
65	26.89996613
66	26.8840679
67	26.86822628
68	26.85344079
69	26.83759823
70	26.82177706
71	26.80597724
72	26.79022751
73	26.77449907
74	26.7587919
75	26.7430677
76	26.72739985
77	26.7117532
78	26.69612775
79	26.68047888
80	26.66599061
81	26.65042025
82	26.63482636
83	26.61925359
84	26.60370192
85	26.58919487
86	26.57371521
87	26.55821828
88	26.54277749
89	26.52731943
90	26.51188235
91	26.49649817
92	26.4811349
93	26.46579252
94	26.45047101
95	26.43512595
96	26.41980176
97	26.40453653
98	26.38925086
99	26.37398599
