iter	Passed	Remaining
0	2	231
1	9	444
2	13	445
3	20	503
4	27	516
5	29	458
6	31	413
7	33	382
8	36	369
9	39	358
10	41	337
11	43	321
12	45	307
13	47	293
14	50	283
15	51	272
16	53	262
17	55	253
18	57	245
19	62	248
20	66	251
21	73	261
22	77	260
23	79	252
24	81	245
25	84	241
26	87	237
27	89	231
28	91	224
29	93	219
30	95	213
31	97	208
32	99	202
33	101	197
34	103	192
35	105	187
36	107	182
37	110	180
38	115	180
39	123	184
40	129	185
41	132	183
42	135	179
43	137	174
44	140	172
45	142	167
46	145	163
47	147	159
48	149	155
49	151	151
50	153	147
51	155	143
52	157	139
53	164	139
54	169	138
55	176	138
56	180	136
57	182	132
58	184	128
59	186	124
60	188	120
61	190	116
62	192	112
63	194	109
64	198	106
65	200	103
66	202	99
67	204	96
68	206	92
69	208	89
70	210	86
71	216	84
72	220	81
73	229	80
74	232	77
75	234	73
76	236	70
77	238	67
78	241	64
79	245	61
80	248	58
81	251	55
82	253	51
83	255	48
84	256	45
85	258	42
86	260	38
87	265	36
88	272	33
89	279	31
90	284	28
91	292	25
92	298	22
93	305	19
94	312	16
95	321	13
96	328	10
97	336	6
98	343	3
99	350	0
